Professor,BibEntries
Joy Arulraj,"[{'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-WuCSAPCAR24', 'author': 'Renzhi Wu,Pramod Chunduri,Dristi J. Shah,Ashmitha Julius Aravind,Ali Payani,Xu Chu,Joy Arulraj,Kexin Rong', 'title': 'SketchQL Demonstration: Zero-shot Video Moment Querying with Sketches', 'year': '2024', 'url': 'https://www.vldb.org/pvldb/vol17/p4429-wu.pdf'}, {'venue_tag': 'ICSE', 'key': 'DBLP:conf-icse-LiuAO24', 'author': 'Xinyu Liu,Joy Arulraj,Alessandro Orso', 'title': 'A Framework For Inferring Properties of User-Defined Functions', 'year': '2024', 'url': 'https://doi.org/10.1145/3597503.3639147'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2403-14902', 'author': 'Gaurav Tarlok Kakkar,Jiashen Cao,Aubhro Sengupta,Joy Arulraj,Hyesoon Kim', 'title': 'Hydro: Adaptive Query Processing of {ML} Queries', 'year': '2024', 'url': 'https://doi.org/10.48550/arXiv.2403.14902'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2405-18334', 'author': 'Renzhi Wu,Pramod Chunduri,Dristi J. Shah,Ashmitha Julius Aravind,Ali Payani,Xu Chu,Joy Arulraj,Kexin Rong', 'title': 'SketchQL Demonstration: Zero-shot Video Moment Querying with Sketches', 'year': '2024', 'url': 'https://doi.org/10.48550/arXiv.2405.18334'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-BangKCMA23', 'author': 'Jaeho Bang,Gaurav Tarlok Kakkar,Pramod Chunduri,Subrata Mitra,Joy Arulraj', 'title': '{SEIDEN:} Revisiting Query Processing in Video Database Systems', 'year': '2023', 'url': 'https://www.vldb.org/pvldb/vol16/p2289-kakkar.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-KakkarRKRC0A23', 'author': 'Gaurav Tarlok Kakkar,Aryan Rajoria,Myna Prasanna Kalluraya,Ashmita Raju,Jiashen Cao,Kexin Rong,Joy Arulraj', 'title': 'Interactive Demonstration of {EVA}', 'year': '2023', 'url': 'https://www.vldb.org/pvldb/vol16/p4082-kakkar.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-CaoSIAK23', 'author': 'Jiashen Cao,Rathijit Sen,Matteo Interlandi,Joy Arulraj,Hyesoon Kim', 'title': '{GPU} Database Systems Characterization and Optimization', 'year': '2023', 'url': 'https://www.vldb.org/pvldb/vol17/p441-cao.pdf'}, {'venue_tag': 'DEEM', 'key': 'DBLP:conf-deem-KakkarCCXVDPBS023', 'author': 'Gaurav Tarlok Kakkar,Jiashen Cao,Pramod Chunduri,Zhuangdi Xu,Suryatej Reddy Vyalla,Prashanth Dintyala,Anirudh Prabakaran,Jaeho Bang,Aubhro Sengupta,Kaushik Ravichandran,Ishwarya Sivakumar,Aryan Rajoria,Ashmita Raju,Tushar Aggarwal,Abdullah Shah,Sanjana Garg,Shashank Suman,Myna Prasanna Kalluraya,Subrata Mitra,Ali Payani,Yao Lu,Umakishore Ramachandran,Joy Arulraj', 'title': '{EVA:} An End-to-End Exploratory Video Analytics System', 'year': '2023', 'url': 'https://doi.org/10.1145/3595360.3595858'}, {'venue_tag': 'HPDC', 'key': 'DBLP:conf-hpdc-WanC0GG0WALFK23', 'author': 'Lipeng Wan,Jieyang Chen,Xin Liang,Ana Gainaru,Qian Gong,Qing Liu,Ben Whitney,Joy Arulraj,Zhengchun Liu,Ian T. Foster,Scott Klasky', 'title': '{RAPIDS:} Reconciling Availability, Accuracy, and Performance in Managing Geo-Distributed Scientific Data', 'year': '2023', 'url': 'https://doi.org/10.1145/3588195.3592983'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2302-00734', 'author': 'Jiashen Cao,Rathijit Sen,Matteo Interlandi,Joy Arulraj,Hyesoon Kim', 'title': 'Revisiting Query Performance in {GPU} Database Systems', 'year': '2023', 'url': 'https://doi.org/10.48550/arXiv.2302.00734'}, {'venue_tag': 'DEBU', 'key': 'DBLP:journals-debu-Arulraj22', 'author': 'Joy Arulraj', 'title': 'Letter from the Rising Star Award Winner', 'year': '2022', 'url': 'http://sites.computer.org/debull/A22sept/p145.pdf'}, {'venue_tag': 'ICDE', 'key': 'DBLP:conf-icde-ZhouANHW22', 'author': 'Qi Zhou,Joy Arulraj,Shamkant B. Navathe,William Harris,Jinpeng Wu', 'title': '{SPES:} {A} Symbolic Approach to Proving Query Equivalence Under Bag Semantics', 'year': '2022', 'url': 'https://doi.org/10.1109/ICDE53745.2022.00250'}, {'venue_tag': 'ICSE', 'key': 'DBLP:conf-icse-Liu0AO22', 'author': 'Xinyu Liu,Qi Zhou,Joy Arulraj,Alessandro Orso', 'title': 'Automatic Detection of Performance Bugs in Database Systems using Equivalent Queries', 'year': '2022', 'url': 'https://doi.org/10.1145/3510003.3510093'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-ChunduriBLA22', 'author': 'Pramod Chunduri,Jaeho Bang,Yao Lu,Joy Arulraj', 'title': 'Zeus: Efficiently Localizing Actions in Videos using Reinforcement Learning', 'year': '2022', 'url': 'https://doi.org/10.1145/3514221.3526181'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-CaoSHAK22', 'author': 'Jiashen Cao,Karan Sarkar,Ramyad Hadidi,Joy Arulraj,Hyesoon Kim', 'title': 'FiGO: Fine-Grained Query Optimization in Video Analytics', 'year': '2022', 'url': 'https://doi.org/10.1145/3514221.3517857'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-XuKAR22', 'author': 'Zhuangdi Xu,Gaurav Tarlok Kakkar,Joy Arulraj,Umakishore Ramachandran', 'title': '{EVA:} {A} Symbolic Approach to Accelerating Exploratory Video Analytics with Materialized Views', 'year': '2022', 'url': 'https://doi.org/10.1145/3514221.3526142'}, {'venue_tag': 'COMPUTER', 'key': 'DBLP:journals-computer-ArulrajCDDR21', 'author': 'Joy Arulraj,Abhijit Chatterjee,Alexandros Daglis,Ashutosh Dhekne,Umakishore Ramachandran', 'title': 'eCloud: {A} Vision for the Evolution of the Edge-Cloud Continuum', 'year': '2021', 'url': 'https://doi.org/10.1109/MC.2021.3059737'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-GhoshNDTAB21', 'author': 'Arthita Ghosh,Arpit Narechania,Visweswara Sai Prashanth Dintyala,Su Timurturkan,Joy Arulraj,Deven Bansod', 'title': 'Interactive Demonstration of {SQLCHECK}', 'year': '2021', 'url': 'http://www.vldb.org/pvldb/vol14/p2779-ghosh.pdf'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:journals-sigmod-Arulraj21', 'author': 'Joy Arulraj', 'title': 'Accelerating Video Analytics', 'year': '2021', 'url': 'https://doi.org/10.1145/3516431.3516442'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-0010ANHW21', 'author': 'Qi Zhou,Joy Arulraj,Shamkant B. Navathe,William Harris,Jinpeng Wu', 'title': '{SIA:} Optimizing Queries using Learned Predicates', 'year': '2021', 'url': 'https://doi.org/10.1145/3448016.3457262'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-ZhouAPC21', 'author': 'Xinjing Zhou,Joy Arulraj,Andrew Pavlo,David E. Cohen', 'title': 'Spitfire: {A} Three-Tier Buffer Manager for Volatile and Non-Volatile Memory', 'year': '2021', 'url': 'https://doi.org/10.1145/3448016.3452819'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2102-08481', 'author': 'Jiashen Cao,Ramyad Hadidi,Joy Arulraj,Hyesoon Kim', 'title': '{THIA:} Accelerating Video Analytics using Early Inference and Fine-Grained Query Planning', 'year': '2021', 'url': 'https://arxiv.org/abs/2102.08481'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2104-01671', 'author': 'Jaeho Bang,Pramod Chunduri,Joy Arulraj', 'title': '{EKO:} Adaptive Sampling of Compressed Video Data', 'year': '2021', 'url': 'https://arxiv.org/abs/2104.01671'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2104-06142', 'author': 'Pramod Chunduri,Jaeho Bang,Yao Lu,Joy Arulraj', 'title': 'Zeus: Efficiently Localizing Actions in Videos using Reinforcement Learning', 'year': '2021', 'url': 'https://arxiv.org/abs/2104.06142'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2105-10016', 'author': 'Xinyu Liu,Qi Zhou,Joy Arulraj,Alessandro Orso', 'title': 'Automated Performance Bug Detection in Database Systems', 'year': '2021', 'url': 'https://arxiv.org/abs/2105.10016'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-SupremAPF20', 'author': 'Abhijit Suprem,Joy Arulraj,Calton Pu,Jo{\\~{a}}o Eduardo Ferreira', 'title': '{ODIN:} Automated Drift Detection and Recovery in Video Analytics', 'year': '2020', 'url': 'http://www.vldb.org/pvldb/vol13/p2453-suprem.pdf'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-DintyalaNA20', 'author': 'Prashanth Dintyala,Arpit Narechania,Joy Arulraj', 'title': 'SQLCheck: Automated Detection and Diagnosis of {SQL} Anti-Patterns', 'year': '2020', 'url': 'https://doi.org/10.1145/3318464.3389754'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2004-00481', 'author': 'Qi Zhou,Joy Arulraj,Shamkant B. Navathe,William Harris,Jinpeng Wu', 'title': '{SPES:} {A} Two-Stage Query Equivalence Verifier', 'year': '2020', 'url': 'https://arxiv.org/abs/2004.00481'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2004-10232', 'author': 'Visweswara Sai Prashanth Dintyala,Arpit Narechania,Joy Arulraj', 'title': 'SQLCheck: Automated Detection and Diagnosis of {SQL} Anti-Patterns', 'year': '2020', 'url': 'https://arxiv.org/abs/2004.10232'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2009-05440', 'author': 'Abhijit Suprem,Joy Arulraj,Calton Pu,Jo{\\~{a}}o Eduardo Ferreira', 'title': '{ODIN:} Automated Drift Detection and Recovery in Video Analytics', 'year': '2020', 'url': 'https://arxiv.org/abs/2009.05440'}, {'venue_tag': 'SYNTHESIS', 'key': 'DBLP:series-synthesis-2019Arulraj', 'author': 'Joy Arulraj,Andrew Pavlo', 'title': 'Non-Volatile Memory Database Management Systems', 'year': '2019', 'url': 'https://doi.org/10.2200/S00891ED1V01Y201812DTM055'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-ZhouANHX19', 'author': 'Qi Zhou,Joy Arulraj,Shamkant B. Navathe,William Harris,Dong Xu', 'title': 'Automated Verification of Query Equivalence Using Satisfiability Modulo Theories', 'year': '2019', 'url': 'http://www.vldb.org/pvldb/vol12/p1276-zhou.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-JungHAKK19', 'author': 'Jinho Jung,Hong Hu,Joy Arulraj,Taesoo Kim,Woon{-}Hak Kang', 'title': '{APOLLO:} Automatic Detection and Diagnosis of Performance Regressions in Database Systems', 'year': '2019', 'url': 'http://www.vldb.org/pvldb/vol13/p57-jung.pdf'}, {'venue_tag': 'CODES', 'key': 'DBLP:conf-codes-CaoHAK19', 'author': 'Jiashen Cao,Ramyad Hadidi,Joy Arulraj,Hyesoon Kim', 'title': 'Video analytics from edge to server: work-in-progress', 'year': '2019', 'url': 'https://doi.org/10.1145/3349567.3351733'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-Arulraj19', 'author': 'Joy Arulraj', 'title': 'Data Management on Non-Volatile Memory', 'year': '2019', 'url': 'https://doi.org/10.1145/3299869.3328523'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-1901-07064', 'author': 'Joy Arulraj,Ran Xian,Lin Ma,Andrew Pavlo', 'title': 'Predictive Indexing', 'year': '2019', 'url': 'http://arxiv.org/abs/1901.07064'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-1901-10938', 'author': 'Joy Arulraj,Andy Pavlo,Krishna Teja Malladi', 'title': 'Multi-Tier Buffer Management and Storage System Design for Non-Volatile Memory', 'year': '2019', 'url': 'http://arxiv.org/abs/1901.10938'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-ArulrajLML18', 'author': 'Joy Arulraj,Justin J. Levandoski,Umar Farooq Minhas,Per{-}{\\AA}ke Larson', 'title': 'BzTree: {A} High-Performance Latch-free Range Index for Non-Volatile Memory', 'year': '2018', 'url': 'http://www.vldb.org/pvldb/vol11/p553-arulraj.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-WuALXP17', 'author': 'Yingjun Wu,Joy Arulraj,Jiexi Lin,Ran Xian,Andrew Pavlo', 'title': 'An Empirical Evaluation of In-Memory Multi-Version Concurrency Control', 'year': '2017', 'url': 'http://www.vldb.org/pvldb/vol10/p781-Wu.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-RenZAG17', 'author': 'Kai Ren,Qing Zheng,Joy Arulraj,Garth Gibson', 'title': 'SlimDB: {A} Space-Efficient Key-Value Storage Engine For Semi-Sorted Data', 'year': '2017', 'url': 'http://www.vldb.org/pvldb/vol10/p2037-ren.pdf'}, {'venue_tag': 'CIDR', 'key': 'DBLP:conf-cidr-PavloAALLMMMPQS17', 'author': 'Andrew Pavlo,Gustavo Angulo,Joy Arulraj,Haibin Lin,Jiexi Lin,Lin Ma,Prashanth Menon,Todd C. Mowry,Matthew Perron,Ian Quah,Siddharth Santurkar,Anthony Tomasic,Skye Toor,Dana Van Aken,Ziqi Wang,Yingjun Wu,Ran Xian,Tieying Zhang', 'title': 'Self-Driving Database Management Systems', 'year': '2017', 'url': 'http://cidrdb.org/cidr2017/papers/p42-pavlo-cidr17.pdf'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-ArulrajP17', 'author': 'Joy Arulraj,Andrew Pavlo', 'title': 'How to Build a Non-Volatile Memory Database Management System', 'year': '2017', 'url': 'https://doi.org/10.1145/3035918.3054780'}, {'venue_tag': 'CACM', 'key': 'DBLP:journals-cacm-BailisAP16', 'author': 'Peter Bailis,Joy Arulraj,Andrew Pavlo', 'title': 'Research for practice: distributed consensus and implications of {NVM} on database management systems', 'year': '2016', 'url': 'https://doi.org/10.1145/2949033'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-ArulrajPP16', 'author': 'Joy Arulraj,Matthew Perron,Andrew Pavlo', 'title': 'Write-Behind Logging', 'year': '2016', 'url': 'http://www.vldb.org/pvldb/vol10/p337-arulraj.pdf'}, {'venue_tag': 'QUEUE', 'key': 'DBLP:journals-queue-BailisFAP16', 'author': 'Peter Bailis,Camille Fournier,Joy Arulraj,Andy Pavlo', 'title': 'Research for Practice: Distributed Consensus and Implications of {NVM} on Database Management Systems', 'year': '2016', 'url': 'https://doi.org/10.1145/2956641.2967618'}, {'venue_tag': 'DAMON', 'key': 'DBLP:conf-damon-MaAZPDGPGDZ16', 'author': 'Lin Ma,Joy Arulraj,Sam Zhao,Andrew Pavlo,Subramanya R. Dulloor,Michael J. Giardino,Jeff Parkhurst,Jason L. Gardner,Kshitij A. Doshi,Stanley B. Zdonik', 'title': 'Larger-than-memory data management on modern storage hardware for in-memory {OLTP} database systems', 'year': '2016', 'url': 'https://doi.org/10.1145/2933349.2933358'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-ArulrajPM16', 'author': 'Joy Arulraj,Andrew Pavlo,Prashanth Menon', 'title': 'Bridging the Archipelago between Row-Stores and Column-Stores for Hybrid Workloads', 'year': '2016', 'url': 'https://doi.org/10.1145/2882903.2915231'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-ArulrajPD15', 'author': 'Joy Arulraj,Andrew Pavlo,Subramanya Dulloor', 'title': ""Let's Talk About Storage {\\&} Recovery Methods for Non-Volatile Memory Database Systems"", 'year': '2015', 'url': 'https://doi.org/10.1145/2723372.2749441'}, {'venue_tag': 'ASPLOS', 'key': 'DBLP:conf-asplos-ArulrajJL14', 'author': 'Joy Arulraj,Guoliang Jin,Shan Lu', 'title': 'Leveraging the short-term memory of hardware to diagnose production-run software failures', 'year': '2014', 'url': 'https://doi.org/10.1145/2541940.2541973'}, {'venue_tag': 'VLDB', 'key': 'DBLP:conf-vldb-DeBrabantAPSZD14', 'author': 'Justin A. DeBrabant,Joy Arulraj,Andrew Pavlo,Michael Stonebraker,Stanley B. Zdonik,Subramanya Dulloor', 'title': 'A Prolegomenon on {OLTP} Database Systems for Non-Volatile Memory', 'year': '2014', 'url': 'http://www.adms-conf.org/2014/adms14\\_debrabant.pdf'}, {'venue_tag': 'ASPLOS', 'key': 'DBLP:conf-asplos-ArulrajCJL13', 'author': 'Joy Arulraj,Po{-}Chun Chang,Guoliang Jin,Shan Lu', 'title': 'Production-run software failure diagnosis via hardware performance counters', 'year': '2013', 'url': 'https://doi.org/10.1145/2451116.2451128'}]"
Kexin Rong,"[{'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-TaeZPRW24', 'author': 'Ki Hyun Tae,Hantian Zhang,Jaeyoung Park,Kexin Rong,Steven Euijong Whang', 'title': 'Falcon: Fair Active Learning using Multi-armed Bandits', 'year': '2024', 'url': 'https://www.vldb.org/pvldb/vol17/p952-whang.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-WuCSAPCAR24', 'author': 'Renzhi Wu,Pramod Chunduri,Dristi J. Shah,Ashmitha Julius Aravind,Ali Payani,Xu Chu,Joy Arulraj,Kexin Rong', 'title': 'SketchQL Demonstration: Zero-shot Video Moment Querying with Sketches', 'year': '2024', 'url': 'https://www.vldb.org/pvldb/vol17/p4429-wu.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-XuDOHRR24', 'author': 'Jie Jeff Xu,Saahir Dhanani,Jorge Henrique Piazentin Ono,Wenbin He,Liu Ren,Kexin Rong', 'title': 'Demonstration of {VCR:} {A} Tabular Data Slicing Approach to Understanding Object Detection Model Performance', 'year': '2024', 'url': 'https://www.vldb.org/pvldb/vol17/p4453-xu.pdf'}, {'venue_tag': 'ICDE', 'key': 'DBLP:conf-icde-00010SC24', 'author': 'Kexin Rong,Paul Liu,Sarah Ashok Sonje,Moses Charikar', 'title': 'Dynamic Data Layout Optimization with Worst-Case Guarantees', 'year': '2024', 'url': 'https://doi.org/10.1109/ICDE60146.2024.00327'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-Fekete0OS24', 'author': 'Jean{-}Daniel Fekete,Kexin Rong,Behrooz Omidvar{-}Tehrani,Roee Shraga', 'title': 'Eighth Workshop on Human-In-the-Loop Data Analytics {(HILDA)}', 'year': '2024', 'url': 'https://doi.org/10.1145/3626246.3655017'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2401-12230', 'author': 'Yao Lu,Song Bian,Lequn Chen,Yongjun He,Yulong Hui,Matthew Lentz,Beibin Li,Fei Liu,Jialin Li,Qi Liu,Rui Liu,Xiaoxuan Liu,Lin Ma,Kexin Rong,Jianguo Wang,Yingjun Wu,Yongji Wu,Huanchen Zhang,Minjia Zhang,Qizhen Zhang,Tianyi Zhou,Danyang Zhuo', 'title': 'Computing in the Era of Large Generative Models: From Cloud-Native to AI-Native', 'year': '2024', 'url': 'https://doi.org/10.48550/arXiv.2401.12230'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2401-12722', 'author': 'Ki Hyun Tae,Hantian Zhang,Jaeyoung Park,Kexin Rong,Steven Euijong Whang', 'title': 'Falcon: Fair Active Learning using Multi-armed Bandits', 'year': '2024', 'url': 'https://doi.org/10.48550/arXiv.2401.12722'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2405-04984', 'author': 'Kexin Rong,Paul Liu,Sarah Ashok Sonje,Moses Charikar', 'title': 'Dynamic Data Layout Optimization with Worst-case Guarantees', 'year': '2024', 'url': 'https://doi.org/10.48550/arXiv.2405.04984'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2405-18334', 'author': 'Renzhi Wu,Pramod Chunduri,Dristi J. Shah,Ashmitha Julius Aravind,Ali Payani,Xu Chu,Joy Arulraj,Kexin Rong', 'title': 'SketchQL Demonstration: Zero-shot Video Moment Querying with Sketches', 'year': '2024', 'url': 'https://doi.org/10.48550/arXiv.2405.18334'}, {'venue_tag': 'PACMMOD', 'key': 'DBLP:journals-pacmmod-LiCC023', 'author': 'Peng Li,Zhiyi Chen,Xu Chu,Kexin Rong', 'title': 'DiffPrep: Differentiable Data Preprocessing Pipeline Search for Learning over Tabular Data', 'year': '2023', 'url': 'https://doi.org/10.1145/3589328'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-0001BSST23', 'author': 'Kexin Rong,Mihai Budiu,Athinagoras Skiadopoulos,Lalith Suresh,Amy Tai', 'title': 'Scaling a Declarative Cluster Manager Architecture with Query Optimization Techniques', 'year': '2023', 'url': 'https://www.vldb.org/pvldb/vol16/p2618-rong.pdf'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-KakkarRKRC0A23', 'author': 'Gaurav Tarlok Kakkar,Aryan Rajoria,Myna Prasanna Kalluraya,Ashmita Raju,Jiashen Cao,Kexin Rong,Joy Arulraj', 'title': 'Interactive Demonstration of {EVA}', 'year': '2023', 'url': 'https://www.vldb.org/pvldb/vol16/p4082-kakkar.pdf'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2306-11800', 'author': 'Amey Agrawal,Sameer Reddy,Satwik Bhattamishra,Venkata Prabhakara Sarath Nookala,Vidushi Vashishth,Kexin Rong,Alexey Tumanov', 'title': 'DynaQuant: Compressing Deep Learning Training Checkpoints via Dynamic Quantization', 'year': '2023', 'url': 'https://doi.org/10.48550/arXiv.2306.11800'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2308-00909', 'author': 'Renzhi Wu,Jingfan Meng,Jie Jeff Xu,Huayi Wang,Kexin Rong', 'title': 'Rethinking Similarity Search: Embracing Smarter Mechanisms over Smarter Data', 'year': '2023', 'url': 'https://doi.org/10.48550/arXiv.2308.00909'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2308-10915', 'author': 'Peng Li,Zhiyi Chen,Xu Chu,Kexin Rong', 'title': 'DiffPrep: Differentiable Data Preprocessing Pipeline Search for Learning over Tabular Data', 'year': '2023', 'url': 'https://doi.org/10.48550/arXiv.2308.10915'}, {'venue_tag': 'US', 'key': 'DBLP:phd-us-Rong21', 'author': 'Kexin Rong', 'title': 'Improving computational and human efficiency in large-scale data analytics', 'year': '2021', 'url': 'https://searchworks.stanford.edu/view/13972838'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-RongLBKL20', 'author': 'Kexin Rong,Yao Lu,Peter Bailis,Srikanth Kandula,Philip Alexander Levis', 'title': 'Approximate Partition Selection for Big-Data Workloads using Summary Statistics', 'year': '2020', 'url': 'http://www.vldb.org/pvldb/vol13/p2606-rong.pdf'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-2008-10569', 'author': 'Kexin Rong,Yao Lu,Peter Bailis,Srikanth Kandula,Philip Alexander Levis', 'title': 'Approximate Partition Selection for Big-Data Workloads using Summary Statistics', 'year': '2020', 'url': 'https://arxiv.org/abs/2008.10569'}, {'venue_tag': 'ICML', 'key': 'DBLP:conf-icml-SiminelakisRBCL19', 'author': 'Paris Siminelakis,Kexin Rong,Peter Bailis,Moses Charikar,Philip Alexander Levis', 'title': 'Rehashing Kernel Evaluation in High Dimensions', 'year': '2019', 'url': 'http://proceedings.mlr.press/v97/siminelakis19a.html'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-ChenGRSB19', 'author': 'Justin Chen,Edward Gan,Kexin Rong,Sahaana Suri,Peter Bailis', 'title': 'CrossTrainer: Practical Domain Adaptation with Loss Reweighting', 'year': '2019', 'url': 'https://doi.org/10.1145/3329486.3329491'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-1905-02304', 'author': 'Justin Chen,Edward Gan,Kexin Rong,Sahaana Suri,Peter Bailis', 'title': 'CrossTrainer: Practical Domain Adaptation with Loss Reweighting', 'year': '2019', 'url': 'http://arxiv.org/abs/1905.02304'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-RongYBEBLB18', 'author': 'Kexin Rong,Clara E. Yoon,Karianne J. Bergen,Hashem Elezabi,Peter Bailis,Philip Alexander Levis,Gregory C. Beroza', 'title': 'Locality-Sensitive Hashing for Earthquake Detection: {A} Case Study Scaling Data-Driven Science', 'year': '2018', 'url': 'http://www.vldb.org/pvldb/vol11/p1674-rong.pdf'}, {'venue_tag': 'TODS', 'key': 'DBLP:journals-tods-AbuzaidBDGMNRS18', 'author': 'Firas Abuzaid,Peter Bailis,Jialin Ding,Edward Gan,Samuel Madden,Deepak Narayanan,Kexin Rong,Sahaana Suri', 'title': 'MacroBase: Prioritizing Attention in Fast Data', 'year': '2018', 'url': 'https://doi.org/10.1145/3276463'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-abs-1803-09835', 'author': 'Kexin Rong,Clara E. Yoon,Karianne J. Bergen,Hashem Elezabi,Peter Bailis,Philip Alexander Levis,Gregory C. Beroza', 'title': 'Locality-Sensitive Hashing for Earthquake Detection: {A} Case Study Scaling Data-Driven Science', 'year': '2018', 'url': 'http://arxiv.org/abs/1803.09835'}, {'venue_tag': 'PVLDB', 'key': 'DBLP:journals-pvldb-RongB17', 'author': 'Kexin Rong,Peter Bailis', 'title': '{ASAP:} Prioritizing Attention via Time Series Smoothing', 'year': '2017', 'url': 'http://www.vldb.org/pvldb/vol10/p1358-rong.pdf'}, {'venue_tag': 'CIDR', 'key': 'DBLP:conf-cidr-BailisGRS17', 'author': 'Peter Bailis,Edward Gan,Kexin Rong,Sahaana Suri', 'title': 'Prioritizing Attention in Analytic Monitoring', 'year': '2017', 'url': 'http://cidrdb.org/cidr2017/papers/p103-bailis-cidr17.pdf'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-BailisGMNRS17', 'author': 'Peter Bailis,Edward Gan,Samuel Madden,Deepak Narayanan,Kexin Rong,Sahaana Suri', 'title': 'MacroBase: Prioritizing Attention in Fast Data', 'year': '2017', 'url': 'https://doi.org/10.1145/3035918.3035928'}, {'venue_tag': 'SIGMOD', 'key': 'DBLP:conf-sigmod-BailisGRS17', 'author': 'Peter Bailis,Edward Gan,Kexin Rong,Sahaana Suri', 'title': 'Demonstration: MacroBase, {A} Fast Data Analysis Engine', 'year': '2017', 'url': 'https://doi.org/10.1145/3035918.3056446'}, {'venue_tag': 'CORR', 'key': 'DBLP:journals-corr-RongB17', 'author': 'Kexin Rong,Peter Bailis', 'title': '{ASAP:} Automatic Smoothing for Attention Prioritization in Streaming Time Series Visualization', 'year': '2017', 'url': 'http://arxiv.org/abs/1703.00983'}]"
